OKATO,Mtotal,Ftotal,Total,M0-4,F0-4,T0-4,M5-9,F5-9,T5-9,M10-14,F10-14,T10-14,M15-19,F15-19,T15-19,M20-24,F20-24,T20-24,M25-29,F25-29,T25-29,M30-34,F30-34,T30-34,M35-39,F35-39,T35-39,M40-44,F40-44,T40-44,M45-49,F45-49,T45-49,M50-54,F50-54,T50-54,M55-59,F55-59,T55-59,M60-64,F60-64,T60-64,M65-69,F65-69,T65-69,M70-74,F70-74,T70-74,M75-79,F75-79,T75-79,M80-84,F80-84,T80-84,M85-89,F85-89,T85-89,1People,2People,3People,4People,5People,6People,NumberOfHouseholds,PairNoChildren,Pair1Children,Pair2Children,Pair3Children,PairOneParentNoChildren,PairOneParent1Children,PairOneParent2Children,PairOneParent3Children,SingleMan1Children,SingleMan2Children,SingleMan3Children,SingleWoman1Children,SingleWoman2Children,SingleWoman3Children,SinglePersonOneParent1Children,SinglePersonOneParent2Children,SinglePersonOneParent3Children,TotalBetween5And6People,Mtotal2,Ftotal2,TotalHouseholds,PWOP2P,PWOP3P,PWOP3P1C,PWOP4P,PWOP4P1C,PWOP4P2C,PWOP5P,PWOP5P1C,PWOP5P2C,PWOP5P3C,PWOP6P,PWOP6P1C,PWOP6P2C,PWOP6P3C,2PWOP4P,2PWOP5P,2PWOP5P1C,2PWOP6P,2PWOP6P1C,2PWOP6P2C,SMWC2P,SMWC2P1C,SMWC3P,SMWC3P1C,SMWC3P2C,SMWC4P,SMWC4P1C,SMWC4P2C,SMWC4P3C,SFWC2P,SFWC2P1C,SFWC3P,SFWC3P1C,SFWC3P2C,SPWCWP3P,SPWCWP3P1C,SPWCWP4P,SPWCWP4P1C,SPWCWP4P2C,SPWCWPWOP3P,SPWCWPWOP3P1C,SPWCWPWOP4P,SPWCWPWOP4P1C,SPWCWPWOP4P2C,SPWCWPWOP5P,SPWCWPWOP5P1C,SPWCWPWOP5P2C,O2P,O2P1C,O3P,O3P1C,O3P2C,O4P,O4P1C,O4P2C,O5P,O5P1C,O5P2C
45263555000,53071,65911,118982,1936,1822,3758,1853,1755,3608,1897,1721,3618,2726,2780,5506,4924,5265,10189,4433,4377,8810,3554,3785,7339,3843,4189,8032,4593,5729,10322,5274,6196,11470,4537,5397,9934,3175,3843,7018,3081,4948,8029,2059,3404,5463,2842,5009,7851,1217,2574,3791,786,1937,2723,322,1162,1484,10702,12941,14576,5564,2052,911,46746,4300,1852,730,119,842,474,185,20,287,55,8,928,205,27,538,130,22,2963,53052,65893,46746,4300,9959,1540,3981,1253,712,1300,475,355,98,388,81,123,96,277,382,243,285,117,103,3714,773,917,137,189,63,17,13,20,799,257,206,28,53,1330,784,227,60,117,796,216,513,256,47,155,53,55,4128,647,1368,309,103,491,240,74,180,77,64
45263558000,34786,41526,76312,1754,1768,3522,1781,1627,3408,1518,1437,2955,2107,2220,4327,3559,3865,7424,3287,3782,7069,3226,3340,6566,2785,3075,5860,2592,2583,5175,2600,2978,5578,2594,2964,5558,1878,2528,4406,1723,2317,4040,898,1434,2332,1172,2130,3302,611,1359,1970,418,1247,1665,282,869,1151,8912,8799,6693,4317,1497,666,30884,4549,2652,1344,181,305,378,159,18,178,53,7,616,136,26,479,89,10,2163,34785,41523,30884,4549,4710,2351,3424,1018,1292,984,326,308,149,316,69,115,92,150,303,201,247,76,115,2151,533,419,76,126,40,5,9,18,498,164,99,13,45,755,450,142,25,86,379,138,310,159,36,77,23,25,1601,70,331,30,4,234,94,11,103,29,36
45263567000,54991,67875,122866,2240,2126,4366,2004,1901,3905,1883,1865,3748,2731,2717,5448,4831,5433,10264,4631,5162,9793,4476,4890,9366,5179,5486,10665,4948,5542,10490,5066,5519,10585,4284,4675,8959,2942,4283,7225,3209,5220,8429,1941,3059,5000,2487,4449,6936,1161,2503,3664,695,1900,2595,282,1142,1424,9525,15901,12813,6098,2263,1094,47694,6484,2038,880,147,647,517,199,27,311,58,8,973,224,28,884,156,18,3357,54990,67872,47694,6484,7821,1720,4175,1541,862,1337,526,433,123,506,125,188,143,251,353,225,299,96,138,4161,832,808,131,209,71,10,15,22,1023,277,206,30,51,1426,825,266,57,150,1195,337,714,336,88,253,101,84,4233,226,1357,232,28,601,251,46,284,110,82
45263570000,47787,55050,102837,1857,1712,3569,1740,1649,3389,1698,1621,3319,3632,3035,6667,6177,5835,12012,4240,3946,8186,3915,3825,7740,3635,3720,7355,3290,3413,6703,3348,3695,7043,3389,4214,7603,2901,3585,6486,2659,3742,6401,1348,2079,3427,1835,3300,5135,988,2217,3205,784,2069,2853,347,1388,1735,19995,11629,8676,5005,1716,774,47795,4299,2072,916,208,418,417,159,24,307,68,12,1091,261,36,743,147,20,2490,47783,55045,47795,4299,5146,1753,3562,1230,886,1101,397,311,174,349,78,126,102,197,275,184,236,74,117,3509,920,731,147,248,76,23,11,28,897,282,176,20,62,1067,698,225,37,139,717,273,431,197,50,114,34,37,2924,146,839,77,23,485,143,23,179,57,34
45263576000,41049,53513,94562,2087,2043,4130,2251,2243,4494,1950,2079,4029,2024,2227,4251,3239,3758,6997,3607,4495,8102,3424,3961,7385,3204,3846,7050,3198,3822,7020,3344,4077,7421,3173,3937,7110,2442,3400,5842,2217,3295,5512,1235,2132,3367,1819,3453,5272,861,2091,2952,697,1719,2416,276,935,1211,7094,10003,9839,5580,2066,835,35417,3533,2908,1010,185,429,569,203,32,289,76,3,1132,288,32,936,162,17,2901,41048,53513,35417,3533,6193,2568,4107,1596,979,1369,464,502,153,410,111,127,111,173,342,203,297,120,108,3462,975,750,133,270,77,22,17,26,767,259,172,28,75,1372,872,285,64,151,716,288,559,294,77,140,52,48,2241,143,636,114,23,370,186,40,179,60,70
45263583000,61341,78010,139351,2354,2315,4669,2141,2110,4251,2031,2007,4038,2408,2479,4887,6016,6929,12945,6271,6748,13019,4862,5428,10290,4168,4695,8863,4467,5778,10245,6005,7852,13857,6426,7582,14008,4522,5656,10178,3427,4781,8208,1591,2730,4321,2208,4400,6608,1169,2760,3929,875,2403,3278,383,1345,1728,12148,16325,16703,6562,2326,1003,55067,6715,3005,1241,182,443,463,207,31,344,80,9,1175,256,33,773,139,16,3329,61324,77998,55067,6715,11963,2498,5043,1545,1211,1545,539,431,159,518,117,184,146,189,415,248,318,112,113,5066,1012,1631,147,234,89,16,19,27,1090,302,308,36,73,1232,728,249,42,134,891,302,565,274,83,173,47,74,3454,142,678,113,12,405,192,36,155,52,58
45263585000,37600,47494,85094,2072,1929,4001,1850,1845,3695,1712,1665,3377,1703,1770,3473,2992,3349,6341,3322,3829,7151,3334,3612,6946,2830,3009,5839,2642,2860,5502,2971,3342,6313,2930,3686,6616,2234,3159,5393,2100,3037,5137,1100,1891,2991,1708,3296,5004,1046,2165,3211,708,1914,2622,341,1130,1471,12016,9423,6898,4364,1654,1148,35503,2985,1808,909,177,267,324,144,21,259,57,11,867,200,25,624,126,15,2802,37595,47488,35503,2985,3785,1581,2884,985,891,1011,358,320,141,503,109,160,156,122,225,152,337,87,107,2847,746,526,107,178,72,14,22,20,691,239,124,19,56,906,593,192,29,125,536,211,442,217,61,150,37,62,2900,300,1021,269,58,634,240,87,246,90,63
45263588000,40726,45233,85959,1581,1424,3005,1587,1357,2944,1710,1354,3064,2384,2003,4387,4155,3778,7933,3916,3843,7759,3585,3401,6986,3149,3243,6392,3118,3244,6362,3415,3511,6926,3127,3653,6780,2446,3033,5479,2126,2919,5045,1167,1733,2900,1552,2664,4216,814,1661,2475,579,1452,2031,313,959,1272,8028,8557,7175,5033,2125,1278,32196,3496,1940,977,177,370,401,214,38,116,25,3,466,137,18,366,87,15,3403,40724,45232,32196,3496,4625,1579,3765,1117,931,1398,415,430,134,593,119,162,157,204,412,246,430,134,159,2350,368,530,92,125,55,5,12,13,569,91,134,19,25,774,395,190,39,98,538,127,435,178,43,120,41,31,2142,77,574,49,11,371,93,11,171,49,33
45268554000,33389,34331,67720,944,881,1825,887,888,1775,888,871,1759,1577,1533,3110,2590,2748,5338,2800,2672,5472,3422,2584,6006,3580,2437,6017,2973,2292,5265,2854,2628,5482,2555,2536,5091,2012,2405,4417,1888,2343,4231,1152,1543,2695,1513,2220,3733,813,1395,2208,582,1288,1870,352,1064,1416,9658,7192,4927,3101,1241,1251,27370,3061,1023,444,90,470,261,95,18,140,26,3,537,90,21,290,50,7,2492,33382,34328,27370,3061,3158,941,2084,628,426,761,249,183,74,278,64,83,65,190,288,128,221,66,74,1614,472,262,62,83,40,3,6,15,415,132,57,7,23,489,268,100,22,49,312,74,287,121,35,107,27,28,2102,163,649,59,31,391,54,33,73,25,15
45268560000,37054,41455,78509,1665,1557,3222,1642,1681,3323,1546,1587,3133,1487,1094,2581,3207,2310,5517,4099,4229,8328,3908,4085,7993,3458,3299,6757,1982,1879,3861,1839,2287,4126,2764,4103,6867,3087,4252,7339,2671,3265,5936,1258,1399,2657,1281,1802,3083,567,1077,1644,398,954,1352,193,595,788,6410,7978,7676,4921,1462,692,29139,3485,2238,1480,140,374,267,115,11,102,33,3,548,111,20,356,65,13,2154,37052,41455,29139,3485,5635,2044,4055,934,1462,949,345,253,121,308,72,110,84,258,343,191,255,95,111,2153,467,476,76,107,52,5,4,16,406,94,108,8,31,551,335,112,19,64,388,92,225,108,24,55,17,17,1934,139,518,92,35,209,85,23,93,25,31
